Country,Region,Date,Age,Cases,Deaths
Afghanistan,All,2020.12.26,0,57,0
Afghanistan,All,2020.12.26,5,201,0
Afghanistan,All,2020.12.26,10,696,3
Afghanistan,All,2020.12.26,15,2154,8
Afghanistan,All,2020.12.26,20,5134,18
Afghanistan,All,2020.12.26,25,7005,30
Afghanistan,All,2020.12.26,30,6083,40
Afghanistan,All,2020.12.26,35,5017,61
Afghanistan,All,2020.12.26,40,4459,97
Afghanistan,All,2020.12.26,45,3950,135
Afghanistan,All,2020.12.26,50,3476,174
Afghanistan,All,2020.12.26,55,3148,228
Afghanistan,All,2020.12.26,60,2737,278
Afghanistan,All,2020.12.26,65,2008,251
Afghanistan,All,2020.12.26,70,1322,178
Afghanistan,All,2020.12.26,75,752,110
Afghanistan,All,2020.12.26,80,443,74
Afghanistan,All,2020.12.26,85,225,42
Afghanistan,All,2020.12.26,90,87,18
Afghanistan,All,2020.12.26,95,21,5
Afghanistan,All,2020.12.26,100,2,0
Albania,All,2020.12.02,0,354,0
Albania,All,2020.12.02,5,440,0
Albania,All,2020.12.02,10,558,0
Albania,All,2020.12.02,15,1030,0
Albania,All,2020.12.02,20,1937,2
Albania,All,2020.12.02,25,3225,5
Albania,All,2020.12.02,30,3992,3
Albania,All,2020.12.02,35,3554,4
Albania,All,2020.12.02,40,3468,16
Albania,All,2020.12.02,45,3681,33
Albania,All,2020.12.02,50,3553,50
Albania,All,2020.12.02,55,3596,83
Albania,All,2020.12.02,60,3207,116
Albania,All,2020.12.02,65,2353,118
Albania,All,2020.12.02,70,1666,106
Albania,All,2020.12.02,75,1342,106
Albania,All,2020.12.02,80,949,90
Albania,All,2020.12.02,85,536,61
Albania,All,2020.12.02,90,223,30
Albania,All,2020.12.02,95,43,7
Albania,All,2020.12.02,100,4,0
Algeria,All,2020.10.23,0,306,0
Algeria,All,2020.10.23,5,231,0
Algeria,All,2020.10.23,10,291,0
Algeria,All,2020.10.23,15,566,0
Algeria,All,2020.10.23,20,1446,0
Algeria,All,2020.10.23,25,3075,2
Algeria,All,2020.10.23,30,4452,5
Algeria,All,2020.10.23,35,5197,11
Algeria,All,2020.10.23,40,5255,20
Algeria,All,2020.10.23,45,5102,33
Algeria,All,2020.10.23,50,5147,57
Algeria,All,2020.10.23,55,4889,80
Algeria,All,2020.10.23,60,4187,89
Algeria,All,2020.10.23,65,3747,98
Algeria,All,2020.10.23,70,2766,84
Algeria,All,2020.10.23,75,2573,88
Algeria,All,2020.10.23,80,2552,97
Algeria,All,2020.10.23,85,2127,90
Algeria,All,2020.10.23,90,1188,57
Algeria,All,2020.10.23,95,426,23
Algeria,All,2020.10.23,100,97,6
Angola,All,2020.06.15,0,3,0
Angola,All,2020.06.15,5,6,0
Angola,All,2020.06.15,10,4,0
Angola,All,2020.06.15,15,7,0
Angola,All,2020.06.15,20,24,0
Angola,All,2020.06.15,25,29,0
Angola,All,2020.06.15,30,18,0
Angola,All,2020.06.15,35,13,0
Angola,All,2020.06.15,40,9,0
Angola,All,2020.06.15,45,6,0
Angola,All,2020.06.15,50,4,0
Angola,All,2020.06.15,55,3,0
Angola,All,2020.06.15,60,2,0
Angola,All,2020.06.15,65,1,0
Angola,All,2020.06.15,70,1,0
Angola,All,2020.06.15,75,1,0
Angola,All,2020.06.15,80,1,0
Angola,All,2020.06.15,85,1,0
Angola,All,2020.06.15,90,0,0
Angola,All,2020.06.15,95,0,0
Angola,All,2020.06.15,100,0,0
Argentina,All,2021.06.13,0,42949,85
Argentina,All,2021.06.13,5,51029,22
Argentina,All,2021.06.13,10,88075,17
Argentina,All,2021.06.13,15,212485,91
Argentina,All,2021.06.13,20,373893,181
Argentina,All,2021.06.13,25,480107,376
Argentina,All,2021.06.13,30,489300,581
Argentina,All,2021.06.13,35,451411,985
Argentina,All,2021.06.13,40,434474,1674
Argentina,All,2021.06.13,45,360221,2610
Argentina,All,2021.06.13,50,301245,3932
Argentina,All,2021.06.13,55,250443,5847
Argentina,All,2021.06.13,60,184980,8388
Argentina,All,2021.06.13,65,139080,10955
Argentina,All,2021.06.13,70,97665,11659
Argentina,All,2021.06.13,75,66910,11717
Argentina,All,2021.06.13,80,45119,10211
Argentina,All,2021.06.13,85,30312,8623
Argentina,All,2021.06.13,90,16855,5265
Argentina,All,2021.06.13,95,5159,1780
Argentina,All,2021.06.13,100,2022,314
Australia,All,2021.06.14,0,789,0
Australia,All,2021.06.14,5,856,0
Australia,All,2021.06.14,10,1022,0
Australia,All,2021.06.14,15,1505,0
Australia,All,2021.06.14,20,2895,0
Australia,All,2021.06.14,25,3770,0
Australia,All,2021.06.14,30,3087,0
Australia,All,2021.06.14,35,2336,1
Australia,All,2021.06.14,40,1908,0
Australia,All,2021.06.14,45,1976,1
Australia,All,2021.06.14,50,1818,5
Australia,All,2021.06.14,55,1691,9
Australia,All,2021.06.14,60,1397,13
Australia,All,2021.06.14,65,1089,24
Australia,All,2021.06.14,70,920,57
Australia,All,2021.06.14,75,729,100
Australia,All,2021.06.14,80,672,167
Australia,All,2021.06.14,85,607,211
Australia,All,2021.06.14,90,486,190
Australia,All,2021.06.14,95,235,98
Australia,All,2021.06.14,100,60,26
Austria,All,2021.06.14,0,8293,0
Austria,All,2021.06.14,5,18355,0
Austria,All,2021.06.14,10,32302,1
Austria,All,2021.06.14,15,42587,2
Austria,All,2021.06.14,20,50431,4
Austria,All,2021.06.14,25,53476,5
Austria,All,2021.06.14,30,50439,7
Austria,All,2021.06.14,35,50103,11
Austria,All,2021.06.14,40,47473,18
Austria,All,2021.06.14,45,53044,46
Austria,All,2021.06.14,50,58455,113
Austria,All,2021.06.14,55,50327,228
Austria,All,2021.06.14,60,34417,379
Austria,All,2021.06.14,65,22636,579
Austria,All,2021.06.14,70,18118,921
Austria,All,2021.06.14,75,18699,1674
Austria,All,2021.06.14,80,14452,1870
Austria,All,2021.06.14,85,11081,1988
Austria,All,2021.06.14,90,7120,1669
Austria,All,2021.06.14,95,2626,800
Austria,All,2021.06.14,100,201,77
Bangladesh,All,2021.04.29,0,9750,40
Bangladesh,All,2021.04.29,5,12179,52
Bangladesh,All,2021.04.29,10,18092,69
Bangladesh,All,2021.04.29,15,37109,100
Bangladesh,All,2021.04.29,20,82769,151
Bangladesh,All,2021.04.29,25,125941,235
Bangladesh,All,2021.04.29,30,115930,373
Bangladesh,All,2021.04.29,35,88999,571
Bangladesh,All,2021.04.29,40,71568,824
Bangladesh,All,2021.04.29,45,59253,1157
Bangladesh,All,2021.04.29,50,49950,1629
Bangladesh,All,2021.04.29,55,34743,1745
Bangladesh,All,2021.04.29,60,18616,1277
Bangladesh,All,2021.04.29,65,9406,795
Bangladesh,All,2021.04.29,70,7207,691
Bangladesh,All,2021.04.29,75,5655,582
Bangladesh,All,2021.04.29,80,4177,450
Bangladesh,All,2021.04.29,85,2920,327
Bangladesh,All,2021.04.29,90,1709,198
Bangladesh,All,2021.04.29,95,755,91
Bangladesh,All,2021.04.29,100,216,27
Belgium,All,2021.06.14,0,15649,0
Belgium,All,2021.06.14,5,32255,1
Belgium,All,2021.06.14,10,55674,1
Belgium,All,2021.06.14,15,73609,3
Belgium,All,2021.06.14,20,84814,5
Belgium,All,2021.06.14,25,90119,11
Belgium,All,2021.06.14,30,85309,19
Belgium,All,2021.06.14,35,83130,34
Belgium,All,2021.06.14,40,81542,58
Belgium,All,2021.06.14,45,84804,107
Belgium,All,2021.06.14,50,82362,209
Belgium,All,2021.06.14,55,70997,433
Belgium,All,2021.06.14,60,51662,843
Belgium,All,2021.06.14,65,37823,1442
Belgium,All,2021.06.14,70,32447,1921
Belgium,All,2021.06.14,75,25672,1667
Belgium,All,2021.06.14,80,28914,2162
Belgium,All,2021.06.14,85,28322,3552
Belgium,All,2021.06.14,90,18269,5495
Belgium,All,2021.06.14,95,6902,5556
Belgium,All,2021.06.14,100,765,1533
Benin,All,2020.05.22,0,0,0
Benin,All,2020.05.22,5,1,0
Benin,All,2020.05.22,10,3,0
Benin,All,2020.05.22,15,7,0
Benin,All,2020.05.22,20,14,0
Benin,All,2020.05.22,25,22,0
Benin,All,2020.05.22,30,29,0
Benin,All,2020.05.22,35,31,0
Benin,All,2020.05.22,40,27,0
Benin,All,2020.05.22,45,20,0
Benin,All,2020.05.22,50,13,0
Benin,All,2020.05.22,55,7,0
Benin,All,2020.05.22,60,3,0
Benin,All,2020.05.22,65,1,0
Benin,All,2020.05.22,70,1,0
Benin,All,2020.05.22,75,0,0
Benin,All,2020.05.22,80,0,0
Benin,All,2020.05.22,85,0,0
Benin,All,2020.05.22,90,0,0
Benin,All,2020.05.22,95,0,0
Benin,All,2020.05.22,100,0,0
Bermuda,All,2021.05.04,0,19,0
Bermuda,All,2021.05.04,5,37,0
Bermuda,All,2021.05.04,10,70,0
Bermuda,All,2021.05.04,15,119,0
Bermuda,All,2021.05.04,20,181,0
Bermuda,All,2021.05.04,25,230,0
Bermuda,All,2021.05.04,30,245,0
Bermuda,All,2021.05.04,35,232,0
Bermuda,All,2021.05.04,40,206,0
Bermuda,All,2021.05.04,45,190,0
Bermuda,All,2021.05.04,50,184,0
Bermuda,All,2021.05.04,55,175,0
Bermuda,All,2021.05.04,60,155,0
Bermuda,All,2021.05.04,65,107,0
Bermuda,All,2021.05.04,70,58,0
Bermuda,All,2021.05.04,75,35,0
Bermuda,All,2021.05.04,80,26,0
Bermuda,All,2021.05.04,85,19,0
Bermuda,All,2021.05.04,90,14,0
Bermuda,All,2021.05.04,95,10,0
Bermuda,All,2021.05.04,100,8,0
Bolivia,All,2020.04.22,0,11,1
Bolivia,All,2020.04.22,5,17,0
Bolivia,All,2020.04.22,10,15,0
Bolivia,All,2020.04.22,15,25,0
Bolivia,All,2020.04.22,20,40,0
Bolivia,All,2020.04.22,25,55,0
Bolivia,All,2020.04.22,30,64,0
Bolivia,All,2020.04.22,35,64,0
Bolivia,All,2020.04.22,40,53,2
Bolivia,All,2020.04.22,45,47,3
Bolivia,All,2020.04.22,50,47,3
Bolivia,All,2020.04.22,55,39,3
Bolivia,All,2020.04.22,60,27,2
Bolivia,All,2020.04.22,65,21,2
Bolivia,All,2020.04.22,70,17,2
Bolivia,All,2020.04.22,75,14,2
Bolivia,All,2020.04.22,80,11,2
Bolivia,All,2020.04.22,85,10,2
Bolivia,All,2020.04.22,90,7,2
Bolivia,All,2020.04.22,95,4,1
Bolivia,All,2020.04.22,100,1,0
Botswana,All,2020.06.17,0,0,0
Botswana,All,2020.06.17,5,0,0
Botswana,All,2020.06.17,10,0,0
Botswana,All,2020.06.17,15,0,0
Botswana,All,2020.06.17,20,2,0
Botswana,All,2020.06.17,25,4,0
Botswana,All,2020.06.17,30,8,0
Botswana,All,2020.06.17,35,12,0
Botswana,All,2020.06.17,40,13,0
Botswana,All,2020.06.17,45,9,0
Botswana,All,2020.06.17,50,5,0
Botswana,All,2020.06.17,55,3,0
Botswana,All,2020.06.17,60,0,0
Botswana,All,2020.06.17,65,0,0
Botswana,All,2020.06.17,70,0,0
Botswana,All,2020.06.17,75,0,0
Botswana,All,2020.06.17,80,0,0
Botswana,All,2020.06.17,85,0,0
Botswana,All,2020.06.17,90,0,0
Botswana,All,2020.06.17,95,0,0
Botswana,All,2020.06.17,100,0,0
Brazil,All,2021.06.07,0,0,239
Brazil,All,2021.06.07,5,0,479
Brazil,All,2021.06.07,10,0,899
Brazil,All,2021.06.07,15,0,1422
Brazil,All,2021.06.07,20,0,2019
Brazil,All,2021.06.07,25,0,3070
Brazil,All,2021.06.07,30,0,6105
Brazil,All,2021.06.07,35,0,11610
Brazil,All,2021.06.07,40,0,17078
Brazil,All,2021.06.07,45,0,21516
Brazil,All,2021.06.07,50,0,29119
Brazil,All,2021.06.07,55,0,41185
Brazil,All,2021.06.07,60,0,54271
Brazil,All,2021.06.07,65,0,57915
Brazil,All,2021.06.07,70,0,55682
Brazil,All,2021.06.07,75,0,59084
Brazil,All,2021.06.07,80,0,55639
Brazil,All,2021.06.07,85,0,25551
Brazil,All,2021.06.07,90,0,14251
Brazil,All,2021.06.07,95,0,11512
Brazil,All,2021.06.07,100,0,1491
Bulgaria,All,2021.03.29,0,725,0
Bulgaria,All,2021.03.29,5,1622,0
Bulgaria,All,2021.03.29,10,3590,0
Bulgaria,All,2021.03.29,15,5892,0
Bulgaria,All,2021.03.29,20,9814,0
Bulgaria,All,2021.03.29,25,18078,0
Bulgaria,All,2021.03.29,30,25419,0
Bulgaria,All,2021.03.29,35,26057,0
Bulgaria,All,2021.03.29,40,30347,0
Bulgaria,All,2021.03.29,45,32618,0
Bulgaria,All,2021.03.29,50,32591,0
Bulgaria,All,2021.03.29,55,33087,0
Bulgaria,All,2021.03.29,60,31117,0
Bulgaria,All,2021.03.29,65,27269,0
Bulgaria,All,2021.03.29,70,22886,0
Bulgaria,All,2021.03.29,75,14043,0
Bulgaria,All,2021.03.29,80,8510,0
Bulgaria,All,2021.03.29,85,3951,0
Bulgaria,All,2021.03.29,90,976,0
Bulgaria,All,2021.03.29,95,148,0
Bulgaria,All,2021.03.29,100,6,0
Burkina Faso,All,2020.06.30,0,1,0
Burkina Faso,All,2020.06.30,5,3,0
Burkina Faso,All,2020.06.30,10,9,0
Burkina Faso,All,2020.06.30,15,36,0
Burkina Faso,All,2020.06.30,20,71,1
Burkina Faso,All,2020.06.30,25,96,1
Burkina Faso,All,2020.06.30,30,89,0
Burkina Faso,All,2020.06.30,35,83,1
Burkina Faso,All,2020.06.30,40,77,1
Burkina Faso,All,2020.06.30,45,77,3
Burkina Faso,All,2020.06.30,50,72,4
Burkina Faso,All,2020.06.30,55,60,5
Burkina Faso,All,2020.06.30,60,44,4
Burkina Faso,All,2020.06.30,65,34,4
Burkina Faso,All,2020.06.30,70,28,5
Burkina Faso,All,2020.06.30,75,24,6
Burkina Faso,All,2020.06.30,80,18,5
Burkina Faso,All,2020.06.30,85,10,4
Burkina Faso,All,2020.06.30,90,4,2
Burkina Faso,All,2020.06.30,95,1,0
Burkina Faso,All,2020.06.30,100,0,0
Burundi,All,N/A,0,0,0
Burundi,All,N/A,5,0,0
Burundi,All,N/A,10,0,0
Burundi,All,N/A,15,0,0
Burundi,All,N/A,20,0,0
Burundi,All,N/A,25,0,0
Burundi,All,N/A,30,0,0
Burundi,All,N/A,35,0,0
Burundi,All,N/A,40,0,0
Burundi,All,N/A,45,0,0
Burundi,All,N/A,50,0,0
Burundi,All,N/A,55,0,0
Burundi,All,N/A,60,0,0
Burundi,All,N/A,65,0,0
Burundi,All,N/A,70,0,0
Burundi,All,N/A,75,0,0
Burundi,All,N/A,80,0,0
Burundi,All,N/A,85,0,0
Burundi,All,N/A,90,0,0
Burundi,All,N/A,95,0,0
Burundi,All,N/A,100,0,0
Cambodia,All,2021.03.25,0,26,0
Cambodia,All,2021.03.25,5,17,0
Cambodia,All,2021.03.25,10,29,0
Cambodia,All,2021.03.25,15,84,0
Cambodia,All,2021.03.25,20,283,0
Cambodia,All,2021.03.25,25,504,0
Cambodia,All,2021.03.25,30,368,0
Cambodia,All,2021.03.25,35,241,0
Cambodia,All,2021.03.25,40,129,0
Cambodia,All,2021.03.25,45,70,0
Cambodia,All,2021.03.25,50,59,0
Cambodia,All,2021.03.25,55,44,0
Cambodia,All,2021.03.25,60,48,0
Cambodia,All,2021.03.25,65,35,0
Cambodia,All,2021.03.25,70,15,0
Cambodia,All,2021.03.25,75,13,0
Cambodia,All,2021.03.25,80,3,0
Cambodia,All,2021.03.25,85,0,0
Cambodia,All,2021.03.25,90,0,0
Cambodia,All,2021.03.25,95,0,0
Cambodia,All,2021.03.25,100,0,0
Cameroon,All,2020.04.16,0,49,0
Cameroon,All,2020.04.16,5,4,0
Cameroon,All,2020.04.16,10,10,0
Cameroon,All,2020.04.16,15,15,0
Cameroon,All,2020.04.16,20,50,0
Cameroon,All,2020.04.16,25,95,0
Cameroon,All,2020.04.16,30,111,0
Cameroon,All,2020.04.16,35,113,0
Cameroon,All,2020.04.16,40,100,1
Cameroon,All,2020.04.16,45,86,2
Cameroon,All,2020.04.16,50,74,0
Cameroon,All,2020.04.16,55,53,1
Cameroon,All,2020.04.16,60,33,1
Cameroon,All,2020.04.16,65,23,1
Cameroon,All,2020.04.16,70,17,1
Cameroon,All,2020.04.16,75,13,2
Cameroon,All,2020.04.16,80,10,2
Cameroon,All,2020.04.16,85,5,2
Cameroon,All,2020.04.16,90,1,0
