Country,Region,Date,Age,Cases,Deaths
World,All,2020.06.21,0,1572881,18027
World,All,2020.06.21,5,2173475,2596
World,All,2020.06.21,10,3213838,2233
World,All,2020.06.21,15,4887325,3609
World,All,2020.06.21,20,7308793,7415
World,All,2020.06.21,25,8840219,13852
World,All,2020.06.21,30,8317237,25522
World,All,2020.06.21,35,7656992,43631
World,All,2020.06.21,40,7210590,65529
World,All,2020.06.21,45,7246402,95749
World,All,2020.06.21,50,6844390,135438
World,All,2020.06.21,55,6119221,191269
World,All,2020.06.21,60,4800887,249711
World,All,2020.06.21,65,3669025,293539
World,All,2020.06.21,70,2802263,327299
World,All,2020.06.21,75,2039962,351227
World,All,2020.06.21,80,1686868,372933
World,All,2020.06.21,85,1124796,307005
World,All,2020.06.21,90,831692,260273
World,All,2020.06.21,95,222274,95697
World,All,2020.06.21,100,26054,14798
